Uso_solo_1,Uso_solo_2,Municipio_1,Municipio_2,Area_m2_1,Area_m2_2,Fid_1,Last_last,Cn_mancha_1,Cn_mancha_2,Altitude_mancha_1,Altitude_mancha_2,Dif_altitude,Comprimento,Dif_cn,Valoracao
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","42913,67",10169,9853,82,30,"406,8659667","385,0526316","21,81333516","604,6945479",52,"685901,0517"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"570025,68","42913,67",10414,9853,52,30,"409,4038462","385,0526316","24,35121458","301,5381051",22,"161542,0202"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"186011,52","128242,33",10026,9854,73,70,"367,7149533","369,60625","1,891296729","432,6366361",-3,"-2454,732764"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1734998,09","128242,33",10158,9854,82,70,"374,6573427","369,60625","5,051092657","1172,833104",12,"71089,06417"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"22684,8","128242,33",10020,9854,73,70,"380,6944444","369,60625","11,08819444","292,0235532",3,"9714,04182"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"866854,56","128242,33",10530,9854,20,70,"350,5979573","369,60625","19,00829271","490,1558483",50,"465851,2919"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"436176,43","128242,33",10416,9854,79,70,"396,2778993","369,60625","26,67164934","1212,317259",9,"291010,5075"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"6018581,78","12323,84",10168,9857,82,30,"365,4918999","361,6521739","3,83972594","563,2192189",52,"112455,5871"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"17616,72","12323,84",10335,9857,52,30,"349,8846154","361,6521739","11,76755853","94,70447988",-22,"-24517,69122"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1884702,38","143860,93",10419,9858,79,70,"390,8107658","378,6457143","12,16505153","3432,738625",9,"375834,9803"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"866854,56","143860,93",10530,9858,20,70,"350,5979573","378,6457143","28,047757","549,9750723",50,"771278,3592"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1884702,38","19826,63",10419,9859,79,70,"390,8107658","399,0625","8,251734184","654,2403275",-9,"-48587,55547"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1857724,76","531459,89",10418,9861,79,70,"386,2572877","385,0522388","1,2050489","2610,741715",9,"28314,64289"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35389,82","531459,89",10351,9861,79,70,"383,2083333","385,0522388","1,843905473","1015,044042",-9,"-16844,80738"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"19845,01","531459,89",10048,9861,36,70,"387,0833333","385,0522388","2,031094527","159,4712378",-34,"-11012,63938"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"11485,41","531459,89",10349,9861,79,70,"390,1666667","385,0522388","5,114427861","314,6503003",9,"14483,30636"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1884702,38","531459,89",10419,9861,79,70,"390,8107658","385,0522388","5,75852701","3312,476787",9,"171674,8834"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","531459,89",10169,9861,82,70,"406,8659667","385,0522388","21,81372793","4150,707071",12,"1086508,737"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"84657,49","531459,89",10355,9861,79,70,"415,7684211","385,0522388","30,71618225","467,2670221",9,"129173,9311"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"203247,16","531459,89",10356,9861,79,70,"418,0873362","385,0522388","33,03509744","972,0414243",9,"289003,3485"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"866854,56","531459,89",10530,9861,20,70,"350,5979573","385,0522388","34,45428152","1085,440527",50,"1869903,675"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"7615844,74","120084,06",10385,9862,79,70,"359,0445031","329,3804348","29,66406833","1667,252894",9,"445117,534"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"6018581,78","14325,62",10168,9863,82,70,"365,4918999","370,0869565","4,595056669","480,9562585",-12,"-26520,25516"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1573260,53","25946,31",10350,9864,79,70,"392,3739067","417,4333333","25,05942663","267,2830005",-9,"-60281,62866"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"527046,11","25946,31",10141,9864,82,70,"390,4098361","417,4333333","27,02349727","358,1679914",-12,"-116147,4208"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","14915,37",10169,9865,82,70,"406,8659667","370,2380952","36,6278715","619,6356438",12,"272351,2168"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"667900,12","13795,68",10143,9866,82,70,"343,9288194","335,7407407","8,188078703","25,57648343",12,"2513,067111"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"395851,93","13795,68",10357,9866,79,70,"346,9179954","335,7407407","11,1772547","476,3470115",9,"47918,26687"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","56274,93",10554,9867,20,70,"323,6100552","327,5","3,889944819","886,9174887",50,"172503,0045"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"29335,94","56274,93",10034,9867,73,70,"333,6363636","327,5","6,136363636","93,4142512",3,"1719,671442"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"395851,93","56274,93",10357,9867,79,70,"346,9179954","327,5","19,41799544","78,37988161",9,"13697,82166"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"380923,31","56274,93",10148,9867,82,70,"350,7251309","327,5","23,22513089","937,3775134",12,"261248,5853"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"31643,13","85626,27",10056,9868,73,70,"366,3333333","367,6165414","1,28320802","132,6168371",-3,"-510,5249669"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"15470,44","85626,27",10055,9868,73,70,"369,64","367,6165414","2,023458647","183,8732601",3,"1116,179815"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"18550,9","85626,27",10108,9868,82,70,"356,7096774","367,6165414","10,90686393","102,2242815",-12,"-13379,35595"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"907504,78","85626,27",10354,9868,79,70,"354,4192825","367,6165414","13,19725884","536,797549",-9,"-63758,3058"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1573260,53","85626,27",10350,9868,79,70,"392,3739067","367,6165414","24,75736535","2044,356597",9,"455515,9487"
Área Urbanizada,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2251303,04","85626,27",10581,9868,86,70,"406,3060519","367,6165414","38,68951052","160,4350504",16,"99314,45715"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","85626,27",10554,9868,20,70,"323,6100552","367,6165414","44,00648617","736,2042106",50,"1619888,021"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2115196,01","54743,85",10386,9869,79,70,"387,5395111","377,6493506","9,890160437","612,0282553",9,"54477,51873"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1573260,53","54743,85",10350,9869,79,70,"392,3739067","377,6493506","14,72455606","568,4891822",9,"75336,75747"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"173936,22","54743,85",10042,9869,73,70,"408,3588235","377,6493506","30,70947288","163,0613442",3,"15022,58378"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","54743,85",10554,9869,20,70,"323,6100552","377,6493506","54,03929547","689,2187595",50,"1862244,809"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"395851,93","21069,78",10357,9870,79,70,"346,9179954","337,1818182","9,736177262","26,80876595",9,"2349,134077"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","21069,78",10554,9870,20,70,"323,6100552","337,1818182","13,571763","375,5268996",50,"254828,1041"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"514909,58","21069,78",10125,9870,82,70,"364,1210046","337,1818182","26,93918638","308,4020748",12,"99697,21171"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"17864,88","18559,62",10039,9871,73,70,"356,3333333","347,09375","9,239583333","110,4916514",3,"3062,690461"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"114446,66","18559,62",10043,9871,73,70,"337,2598425","347,09375","9,83390748","28,33514663",-3,"-835,9356311"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","18559,62",10554,9871,20,70,"323,6100552","347,09375","23,48369482","263,6791894",50,"309608,0807"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2115196,01","18559,62",10386,9871,79,70,"387,5395111","347,09375","40,44576109","302,3088636",9,"110044,0086"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","17439,94",10554,9872,20,70,"323,6100552","331,8857143","8,275659105","655,7683678",50,"271345,7732"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"514909,58","17439,94",10125,9872,82,70,"364,1210046","331,8857143","32,23529028","155,5940491",12,"60187,43208"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"7615844,74","7638,8",10385,9873,79,70,"359,0445031",330,"29,04450311","392,4724768",9,"102592,5127"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"995236,82","21643,89",10384,9875,79,70,"360,0457934","361,3793103","1,333516948","726,1776136",-9,"-8715,331395"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","21643,89",10554,9875,20,70,"323,6100552","361,3793103","37,76925516","57,03076439",50,"107700,4746"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"507014,23","1839,85",10543,9876,20,70,"349,403169","340,25","9,153169014","25,06928826",-50,"-11473,17163"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"824026,98","1839,85",10122,9876,82,70,"361,7303371","340,25","21,48033708","213,2799697",12,"54975,9077"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"52156,4","328032,03",10059,9877,73,70,"387,5555556","387,358209","0,197346601","295,6426435",3,"175,0322124"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"77644,5","328032,03",10535,9877,20,70,"389,5540541","387,358209","2,195845099","297,1504405",-50,"-32624,81693"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","328032,03",10169,9877,82,70,"406,8659667","387,358209","19,50775778","5640,109613",12,"1320310,706"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"573085,91","328032,03",10542,9877,20,70,"364,8866545","387,358209","22,47155448","822,6547493",50,"924316,5507"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"214698,5","328032,03",10393,9877,79,70,"417,3116279","387,358209","29,95341895","1137,712365",9,"306705,3762"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","14868,06",10169,9878,82,70,"406,8659667","417,3478261","10,48185935","502,8182154",-12,"-63245,63777"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"178479,09","46402,01",10551,9879,20,70,"341,1626506","346,4166667","5,254016065","136,0775208",50,"35747,67402"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"7615844,74","46402,01",10385,9879,79,70,"359,0445031","346,4166667","12,62783644","1010,784356",9,"114876,1758"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"995236,82","39832,49",10384,9880,79,70,"360,0457934","342,0175439","18,02824954","99,33611557",9,"16117,70652"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","39832,49",10554,9880,20,70,"323,6100552","342,0175439","18,40748868","582,2524259",50,"535890,2469"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"167640,56","39832,49",10389,9880,79,70,"361,9041916","342,0175439","19,88664776","24,63082705",9,"4408,421233"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"269978,45","39832,49",10118,9880,82,70,"370,8345865","342,0175439","28,81704261","389,4196837",12,"134663,0834"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","45822,75",10554,9881,20,70,"323,6100552","338,5131579","14,90310271","651,6410619",50,"485573,6839"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"489953,46","45822,75",10381,9881,79,70,"365,827957","338,5131579","27,31479909","1159,133821",9,"284953,5669"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","163403,12",10169,9882,82,70,"406,8659667","430,4285714","23,56260469","1749,68615",-12,"-494725,9571"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"214698,5","22438,74",10393,9883,79,70,"417,3116279","415,2272727","2,08435518","469,7703513",9,"8812,514386"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","22438,74",10169,9883,82,70,"406,8659667","415,2272727","8,361305992","393,711335",-12,"-39503,29134"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"138714,95","33436,09",10371,9884,79,70,"383,7108434","389,16","5,449156627","1417,626602",-9,"-69523,82453"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","33436,09",10169,9884,82,70,"406,8659667","389,16","17,70596674","97,62444958",12,"20742,42308"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","809,63",10169,9886,82,70,"406,8659667","407,75","0,884033265","174,269463",-12,"-1848,720029"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"93424,51","68333,54",10540,9887,20,70,"370,076087","383,5949367","13,51884975","164,6456211",50,"111290,9707"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3047572,34","68333,54",10367,9887,79,70,"401,1071836","383,5949367","17,51224687","743,7258309",9,"117218,7932"
Área Urbanizada,Floresta Nativa,Alto Piquiri,Alto Piquiri,"129694,27","68333,54",10582,9887,86,70,"405,4876033","383,5949367","21,8926666","292,1608936",16,"102338,8966"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","68333,54",10169,9887,82,70,"406,8659667","383,5949367","23,27103003","902,3957739",12,"251996,1498"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1269057,32","68333,54",10365,9887,79,70,"411,697076","383,5949367","28,10213931","61,29993108",9,"15503,93283"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","139423,33",10169,9888,82,70,"406,8659667","442,4031008","35,53713404","1803,406228",-12,"-769054,6661"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3047572,34","48544,06",10367,9889,79,70,"401,1071836","390,75","10,35718358","888,3732673",9,"82809,40516"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"507014,23","66301,4",10543,9890,20,70,"349,403169","373,1923077","23,78913868","1304,506764",50,"1551654,616"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","66301,4",10169,9890,82,70,"406,8659667","373,1923077","33,67365904","1433,985841",12,"579450,6035"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","36127,99",10169,9892,82,70,"406,8659667","394,9069767","11,95898999","933,3791117",12,"133947,2575"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"21298,26","823385,03",10071,9893,73,70,"379,8947368","379,905805","0,011068196","259,0869803",-3,"-8,602876436"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"44452,5","823385,03",10113,9893,82,70,"379,0384615","379,905805","0,8673435","70,53540959",-12,"-734,1411483"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"138268,95","823385,03",10390,9893,79,70,"381,2193548","379,905805","1,313549801","846,6026683",9,"10008,4929"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"441939,74","823385,03",10396,9893,79,70,"387,2780083","379,905805","7,372203261","2682,525348",9,"177985,0991"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2115196,01","823385,03",10386,9893,79,70,"387,5395111","379,905805","7,633706048","224,1649007",9,"15400,88062"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"37470,82","823385,03",10062,9893,73,70,388,"379,905805","8,094194962","373,0813496",3,"9059,379541"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1791,64","823385,03",10375,9893,79,70,371,"379,905805","8,905805038","42,27343052",-9,"-3388,310375"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"102662,13","823385,03",10072,9893,73,70,"367,1219512","379,905805","12,78385382","837,0286705",-3,"-32101,3565"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1350122,57","823385,03",10121,9893,82,70,"392,8925831","379,905805","12,98677808","3263,631176",12,"508608,6459"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"278279,36","823385,03",10116,9893,82,70,"393,7483444","379,905805","13,84253933","482,6422421",12,"80171,93065"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"489953,46","823385,03",10381,9893,79,70,"365,827957","379,905805","14,07784805","301,4844472",-9,"-38198,27013"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"953354,23","823385,03",10376,9893,79,70,"394,0890493","379,905805","14,1832443","1985,798372",9,"253485,5709"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"61448,88","823385,03",10036,9893,73,70,"394,5606061","379,905805","14,65480102","277,7394679",3,"12210,64992"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"93045,71","823385,03",10112,9893,82,70,"361,6888889","379,905805","18,21691615","576,9483425",-12,"-126122,6349"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"87,93","823385,03",10058,9893,73,70,"360,5","379,905805","19,40580504","26,69659484",-3,"-1554,206744"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"30514,66","823385,03",10061,9893,73,70,"400,4285714","379,905805","20,52276639","326,2221552",3,"20084,94325"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"866275,65","823385,03",10379,9893,79,70,"401,6843501","379,905805","21,77854509","316,1759997",9,"61972,67941"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"125974,42","823385,03",10038,9893,73,70,"354,7246377","379,905805","25,18116736","585,5170444",-3,"-44232,00805"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","823385,03",10169,9893,82,70,"406,8659667","379,905805","26,9601617","2386,891821",12,"772211,8735"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"33845,41","823385,03",10392,9893,79,70,"408,0930233","379,905805","28,18721822","552,8402168",9,"140247,2505"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"14685,75","823385,03",10383,9893,79,70,"408,483871","379,905805","28,57806593","529,6441014",9,"136225,8364"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"422915,64","823385,03",10387,9893,79,70,"416,6457143","379,905805","36,73990925","195,6466252",9,"64692,35328"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"115082,92","823385,03",10117,9893,82,70,423,"379,905805","43,09419496","89,03091605",12,"46040,58785"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","823385,03",10554,9893,20,70,"323,6100552","379,905805","56,29574986","157,8739777",50,"444381,698"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"152672,19","823385,03",10382,9893,79,70,"442,2142857","379,905805","62,30848068","670,5859825",9,"376048,7436"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"507014,23","28321,07",10543,9894,20,70,"349,403169","352,1627907","2,759621684","1170,461749",50,"161501,5812"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"867196,17","28321,07",10377,9894,79,70,"381,2350299","352,1627907","29,07223924","31,88116936",9,"8341,712847"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1938642,49","18751,68",10124,9896,82,70,"379,1051517","369,7692308","9,33592096","588,1443909",12,"65890,43456"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"92808,78","74827,63",10035,9897,73,70,"356,88","354,9252336","1,954766355","324,756471",3,"1904,469069"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"271705,34","74827,63",10128,9897,82,70,"350,9962963","354,9252336","3,928937349","533,0653569",-12,"-25132,56468"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"49350,02","74827,63",10569,9897,82,70,"365,5901639","354,9252336","10,66493029","176,2454182",12,"22555,74118"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"21578,65","74827,63",10337,9897,79,70,"330,2045455","354,9252336","24,72068819","64,73622191",-9,"-14402,91561"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","74827,63",10554,9897,20,70,"323,6100552","354,9252336","31,31517846","209,5069668",50,"328037,4027"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2115196,01","74827,63",10386,9897,79,70,"387,5395111","354,9252336","32,61427744","951,231336",9,"279213,5043"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"410031,12","29586,15",10359,9898,79,70,"410,1810345","415,972973","5,79193849","428,7752285",-9,"-22350,95775"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","29586,15",10169,9898,82,70,"406,8659667","415,972973","9,107006238","64,04327547",-12,"-6998,910111"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"76112,62","29586,15",10338,9898,79,70,"403,0243902","415,972973","12,94858273","176,8054969",-9,"-20604,42544"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"28259,17","29586,15",10120,9898,82,70,"399,902439","415,972973","16,07053395","168,8265703",-12,"-32557,59756"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"410031,12","37773,7",10359,9899,79,70,"410,1810345","421,8928571","11,71182266","1169,733964",-9,"-123297,4507"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1938642,49","37773,7",10124,9899,82,70,"379,1051517","421,8928571","42,78770541","176,0767489",-12,"-90407,04076"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"178479,09","55577,79",10551,9900,20,70,"341,1626506","342,0545455","0,891894853","626,8168629",50,"27952,73669"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"7615844,74","55577,79",10385,9900,79,70,"359,0445031","342,0545455","16,98995766","609,1681478",9,"93147,66933"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"3161549,63","12593,63",10554,9901,20,70,"323,6100552","329,8928571","6,282801962","488,100131",50,"153331,823"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"995236,82","12593,63",10384,9901,79,70,"360,0457934","329,8928571","30,15293625","199,8188269",9,"54226,11914"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"514909,58","12593,63",10125,9901,82,70,"364,1210046","329,8928571","34,22814742","29,26701943",12,"12021,07027"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"120077,96","316919,15",10541,9902,20,70,"388,8115942","384,204611","4,606983252","722,096419",-50,"-166334,3054"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1938642,49","316919,15",10124,9902,82,70,"379,1051517","384,204611","5,099459222","1129,857441",-12,"-69139,94337"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"28259,17","316919,15",10120,9902,82,70,"399,902439","384,204611","15,69782807","158,9377275",12,"29939,72545"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"76112,62","316919,15",10338,9902,79,70,"403,0243902","384,204611","18,81977929","688,1817836",9,"116562,8635"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"573085,91","316919,15",10542,9902,20,70,"364,8866545","384,204611","19,31795647","1028,054116",50,"992995,2335"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"13187,09","316919,15",10119,9902,82,70,"403,8095238","384,204611","19,60491286","287,6649002",12,"67675,74361"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36872326,19","316919,15",10169,9902,82,70,"406,8659667","384,204611","22,66135578","1605,538813",12,"436604,2351"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"110432,33","316919,15",10360,9902,79,70,"408,5036496","384,204611","24,29903868","1859,824425",9,"406727,5108"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"7615844,74","316919,15",10385,9902,79,70,"359,0445031","384,204611","25,16010784","388,7217513",-9,"-88022,53063"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"410031,12","316919,15",10359,9902,79,70,"410,1810345","384,204611","25,97642353","350,7326467",9,"81997,01799"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1857724,76","991713,2",10418,9903,79,70,"386,2572877","386,0137525","0,24353525","2123,667003",9,"4654,68997"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"527046,11","991713,2",10141,9903,82,70,"390,4098361","386,0137525","4,39608361","995,8223593",12,"52532,62023"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"43664,33","991713,2",10140,9903,82,70,"381,2857143","386,0137525","4,72803817","7,566399206",-12,"-429,2906911"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"127445,08","991713,2",10030,9903,73,70,"380,5238095","386,0137525","5,489942932","624,7566026",-3,"-10289,63428"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"14851,56","991713,2",10050,9903,73,70,"379,7619048","386,0137525","6,251847694","150,757661",-3,"-2827,541805"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"120275,11","991713,2",10046,9903,73,70,"392,3282443","386,0137525","6,314491819","321,0666485",3,"6082,118175"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1573260,53","991713,2",10350,9903,79,70,"392,3739067","386,0137525","6,36015425","572,4158868",9,"32765,88002"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"25450,6","991713,2",10031,9903,73,70,"392,875","386,0137525","6,861247544","215,701853",3,"4439,951428"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"129312,75","991713,2",10132,9903,82,70,"378,2781955","386,0137525","7,735556967","776,154792",-12,"-72047,87531"
