"Uso_solo","Municipio","Area_m2","Fid_1","Last_last","Cn_mancha1","Cn_mancha2","Altitude_mancha1","Altitude_mancha2","Dif_altitude","Comprimento","Dif_cn","Valoracao"
"Várzea","Alto Piquiri","147681,59","9397","9397","82","20","352,2107826","298,2137405","53,99704212","1278,145378","62","4278996,327"
"Pastagem/Campo","Alto Piquiri","232217,9","10336","9455","52","60","421,9893048","427,875","5,885695187","593,2261873","8","27932,38812"
"Agricultura Anual","Alto Piquiri","15324,54","9455","9455","52","60","421,9893048","427,875","5,885695187","593,2261873","8","27932,38812"
"Floresta Nativa","Alto Piquiri","613678,9","9848","9455","70","60","374,8592693","427,875","53,01573072","128,7135658","-10","-68238,43744"
"Agricultura Anual","Alto Piquiri","15324,54","9455","9455","70","60","374,8592693","427,875","53,01573072","128,7135658","-10","-68238,43744"
"Floresta Nativa","Alto Piquiri","15164,33","10467","9497","70","70","296,3333333","296","0,333333333","126,3363521","0","0"
"Floresta Nativa","Alto Piquiri","8409,61","9497","9497","70","70","296,3333333","296","0,333333333","126,3363521","0","0"
"Plantios Florestais","Alto Piquiri","10470,03","9951","9497","73","70","296,75","296","0,75","166,1445913","3","373,8253305"
"Floresta Nativa","Alto Piquiri","8409,61","9497","9497","73","70","296,75","296","0,75","166,1445913","3","373,8253305"
"Agricultura Anual","Alto Piquiri","117000000","9505","9497","82","70","352,2107826","296","56,21078258","130,8102838","12","88235,38105"
"Floresta Nativa","Alto Piquiri","8409,61","9497","9497","82","70","352,2107826","296","56,21078258","130,8102838","12","88235,38105"
"Pastagem/Campo","Alto Piquiri","102496,01","10200","9504","52","69","390,4767442","376,3470588","14,12968536","753,0846086","-17","-180894,4257"
"Área Urbanizada","Alto Piquiri","189040,22","9504","9504","52","69","390,4767442","376,3470588","14,12968536","753,0846086","-17","-180894,4257"
"Pastagem/Campo","Alto Piquiri","18003,54","10205","9504","52","69","357,9259259","376,3470588","18,4211329","238,3056338","17","74627,61575"
"Área Urbanizada","Alto Piquiri","189040,22","9504","9504","52","69","357,9259259","376,3470588","18,4211329","238,3056338","17","74627,61575"
"Várzea","Alto Piquiri","85430,31","10472","9504","20","69","354,8829787","376,3470588","21,4640801","127,4583043","49","134052,9874"
"Área Urbanizada","Alto Piquiri","189040,22","9504","9504","20","69","354,8829787","376,3470588","21,4640801","127,4583043","49","134052,9874"
"Agricultura Anual","Alto Piquiri","117000000","9505","9504","82","69","352,2107826","376,3470588","24,13627625","978,9309468","-13","-307160,7209"
"Área Urbanizada","Alto Piquiri","189040,22","9504","9504","82","69","352,2107826","376,3470588","24,13627625","978,9309468","-13","-307160,7209"
